subject,n_ref,centre_err_median,centre_err_p90,scale_err_median,scale_err_p90,centre_err_EDA,centre_err_HR,centre_err_IMU,centre_err_CROSS
S3,75,0.24535694655740561,0.7877666217514133,0.2502821490172699,0.6465994671480979,0.6097676279938646,0.1814067183904568,0.2072686355311742,0.6355329671095169
S3,100,0.2653048535124058,0.5072397959019621,0.2827280818784842,0.6443913347062679,0.30260135649536635,0.16269254606410893,0.10807228837119648,0.5159253921031505
S4,10,0.3872340425531915,1.9444138621811224,0.7537543676351298,1.0,0.0028029977502553463,0.2382698255803087,1.4389875794584865,0.29578084395161935
S4,15,0.24911069897618254,1.3176881164040564,0.6612738395963019,1.0,0.0013996770441278936,0.24911069897618227,0.9760141684179489,0.19037339036873768
S4,20,0.04797308664861403,1.0534261456544571,0.8122523034255446,1.0,0.0007981901367180124,0.23045957821721053,0.3057781617885301,0.031301185113378614
S4,25,0.045740818178515476,0.8269693840071034,0.7779551039056873,1.0,0.0017382069799485088,0.12293393443156736,0.3057781617885301,0.03018505087832938
S4,30,0.037900605994067506,0.44432894458649114,0.7272305144473716,1.0,0.0018261067805898548,0.19118225879671658,0.21916310666065222,0.018761553013499483
S4,40,0.040157905948250354,0.40485971396891424,0.7765726128136377,1.0,0.0006351579833501812,0.19118225879671658,0.12268208699449475,0.023737703067916307
S4,50,0.07921920503089122,0.3760154738878145,0.8071065989847716,1.0,1.7512553262566707e-17,0.06947144317566838,0.15663875413494457,0.03620403212662502
S4,75,0.09450004177966947,0.3408494417216269,0.8361855313364955,1.0,0.0008337485082165519,0.08476296721441386,0.1650642593749943,0.04925906000718514
S4,100,0.12495660630862614,0.3149677678833309,0.7821022756712775,1.0,0.00273706978102841,0.14703544053737383,0.15368357773390165,0.06307051890823373
S5,10,0.7088013952668939,6.313659077558018,0.7160681889763447,0.9681055372292414,1.363391237385136,0.5563306522528454,2.7487194590056467,0.09383266368199739
S5,15,0.7301444655497918,5.631923482988832,0.6229283791154072,0.9219538700623404,1.1908544021992093,0.45164557895514096,2.5814268188603986,0.09524676894199027
S5,20,0.7333510492834515,5.215131995622534,0.7144001535080902,2.047708200657492,0.9716024249890272,0.39995298573414184,2.5232016212870705,0.12050056385248162
S5,25,0.6694160384823408,4.720153216004791,0.7297205624216396,2.845827842868389,0.8134846663318808,0.30811538476589084,2.006796659197907,0.14542998797311396
S5,30,0.5438667361689044,2.788409831364872,0.7187574525717771,3.254324217723282,0.5867405847622467,0.3089584139417607,1.4025444139203556,0.11440339010072119
S5,40,0.38925781162129747,1.4522483568063733,0.5496031746031746,3.4849754212944197,0.3360733617688467,0.27413996952764913,1.0356459749574856,0.05754013830111365
S5,50,0.3420416846740902,1.2871710971018673,0.48644194804529395,2.895479423367804,0.2884472511144132,0.19195744542796814,0.8127099957397163,0.0498751861250869
S5,75,0.19806835066864786,1.2552169234259325,0.46074546910547387,0.8372955798116092,0.0913426840830848,0.19192004369552979,0.6161331333617753,0.1285706898348538
S5,100,0.19734033634120954,1.0806011081321125,0.3480229072102261,0.9158282264034905,0.12189509895177233,0.19311851046905576,0.5305343511450382,0.24133135981888518
S6,10,0.47063444519152103,1.378461685504545,0.6931370160152096,0.9495313601127555,0.3819195477764745,0.444505905184108,1.0416766494776015,0.3608472377618144
S6,15,0.45486912071292995,1.2514164526635598,0.6230769230769231,0.9082943733372042,0.3917264957264957,0.39573075994543155,0.8260533340891516,0.41652620965904885
S6,20,0.39362157777048484,1.2492486777849627,0.6754691367183414,0.9482834169818373,0.3445135297103449,0.34565720874374617,0.5572307576263397,0.3646071027984859
S6,25,0.3706317107961227,1.1953485207275654,0.5733333333333334,0.9060700259417837,0.3237773938595998,0.4009451559503417,0.5659812890035529,0.35621918075709086
S6,30,0.33012069337615535,1.1209278501711537,0.5929982394393527,0.868974124333732,0.269,0.3583272524430788,0.537711322839419,0.37256641735372154
S6,40,0.22384468041210573,0.7396071714226036,0.5569413613489385,0.8874567376473174,0.19278375441522583,0.23609265081193948,0.3079272103909447,0.2799826654196578
S6,50,0.1364076936884519,0.3863877361875768,0.4970876763577454,0.8322764749399036,0.062495726495726565,0.11035203298687661,0.168141299395881,0.16140422602400223
S6,75,0.11142475435269789,0.5237209302325582,0.4637283385839079,0.7157127023328063,0.12541269961099347,0.10316910310833441,0.09384460155407595,0.11929742516783925
S6,100,0.10066406738453243,0.42359372749983565,0.40763759756139817,0.8573799894893784,0.1036505031664881,0.24180734897108844,0.057339384360103496,0.09089364985723107
S7,10,0.8530401434558179,1.455462879687316,0.6743201770854714,0.9013641890438573,1.0338719304013593,0.18489704781250585,0.9240734185596612,1.1161234175125128
S7,15,0.6695532307578339,1.158789231351211,0.6091580801652163,0.9055252474981762,0.7314464189630538,0.08972639317060574,0.745191460557733,0.8259470420025126
S7,20,0.5297702487875278,1.0417352419019847,0.39180522106857085,0.7946415151957038,0.528724217392671,0.09769734086592605,0.7223805601744651,0.6239928471544174
S7,25,0.5234921272221337,0.9532551554844211,0.342863922172163,0.8350113464267925,0.5875534780329664,0.21767850341211759,0.7044522836407713,0.5664101123267316
S7,30,0.4490188146950233,1.1833638897195706,0.35043970444231665,0.7764887579575172,0.69865916599825,0.33532413202251415,0.43790472874604,0.7344399670862397
S7,40,0.2633817948358427,1.056194374604933,0.3125414211345866,0.7067368222438913,0.5465709653398156,0.13999147311798568,0.20446570807922745,0.5781429676734153
S7,50,0.34146028422405017,0.8627857749550546,0.2667423865036827,0.729482578265253,0.46605874679354364,0.32797625390954005,0.25914425523160073,0.5812436888959126
S7,75,0.21509685037944742,0.6391848383922736,0.3082344582413158,0.6942735792169686,0.24588715002241704,0.09826379868676687,0.2163234357349703,0.3872517986867899
S7,100,0.18389823983361467,0.4709417940107037,0.34670774275430016,0.5998688929260708,0.18059165862049603,0.12236268027679213,0.26693421719265875,0.10798211884682882
S8,10,0.5421686746987951,1.9156823822172424,0.8563570512749233,1.0,0.04446473776949994,1.0739304642215997,0.5192431455095187,1.900776436819429
S8,15,0.5062055921807189,1.7258659785938328,0.43055592308785845,1.0,0.030509315158355213,0.8579270816910086,0.4953595191690408,1.4453546516988403
S8,20,0.397712343331988,1.356227061708553,0.36217948717948706,1.0,0.198856171665994,0.4463129684209611,0.2365277941645305,1.008104444699935
S8,25,0.418735576221248,1.258864057271414,0.5089814215185336,1.0,0.009665500060880254,0.6656875771575556,0.35044176795533066,1.4157390332431214
