subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S14,317,0.7034700315457413,0.626984126984127,0.6037921497713009,100,per_n
S15,318,0.8867924528301887,0.9052631578947368,0.8860305829882128,100,per_n
S16,315,0.9015873015873016,0.918421052631579,0.9004272502013888,100,per_n
S17,326,0.9386503067484663,0.9259259259259259,0.9351243781094527,100,per_n
S2,295,0.7288135593220338,0.6476952251288535,0.6392319921731686,100,per_n
S3,301,0.7043189368770764,0.6228813559322034,0.5994767137624281,100,per_n
S4,304,0.9572368421052632,0.96524064171123,0.9556786703601108,100,per_n
S5,314,1.0,1.0,1.0,100,per_n
S6,312,0.9743589743589743,0.9775431612651984,0.973232669869595,100,per_n
S7,311,0.9967845659163987,0.9957627118644068,0.9965803507614492,100,per_n
S8,312,0.9743589743589743,0.967741935483871,0.9729166666666667,100,per_n
S9,311,0.977491961414791,0.9705882352941176,0.9758970781988685,100,per_n
