subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S8,337,0.9851632047477745,0.9798387096774194,0.9839114701192556,75,per_n
S9,336,0.9791666666666666,0.9705882352941176,0.976911976911977,75,per_n
S10,326,0.9570552147239264,0.951405856117898,0.9553337247993736,100,fixed
S11,317,0.8675078864353313,0.8333333333333333,0.8504716981132076,100,fixed
S13,317,0.9305993690851735,0.9285893364532842,0.9273541666666667,100,fixed
S14,317,0.8170347003154574,0.7698412698412698,0.7846063730084348,100,fixed
S15,318,0.8867924528301887,0.9052631578947368,0.8860305829882128,100,fixed
S16,315,0.9428571428571428,0.9526315789473685,0.9415560319947225,100,fixed
S17,326,0.9693251533742331,0.962962962962963,0.9680141287284145,100,fixed
S2,295,0.7830508474576271,0.7168141592920354,0.7277027806622822,100,fixed
S3,301,0.7109634551495017,0.6313559322033898,0.6120272012089426,100,fixed
S4,304,0.9506578947368421,0.9598930481283423,0.9489881531697821,100,fixed
S5,314,1.0,1.0,1.0,100,fixed
S6,312,0.9262820512820513,0.9382761455583921,0.9244178085798849,100,fixed
S7,311,0.9967845659163987,0.9957627118644068,0.9965803507614492,100,fixed
S8,312,0.9903846153846154,0.9879032258064516,0.9899197673792473,100,fixed
S9,311,0.9839228295819936,0.9789915966386555,0.9828436510475854,100,fixed
S10,326,0.9570552147239264,0.951405856117898,0.9553337247993736,100,per_n
S11,317,0.8675078864353313,0.8333333333333333,0.8504716981132076,100,per_n
S13,317,0.9305993690851735,0.9285893364532842,0.9273541666666667,100,per_n
S14,317,0.8170347003154574,0.7698412698412698,0.7846063730084348,100,per_n
S15,318,0.8867924528301887,0.9052631578947368,0.8860305829882128,100,per_n
S16,315,0.9428571428571428,0.9526315789473685,0.9415560319947225,100,per_n
S17,326,0.9693251533742331,0.962962962962963,0.9680141287284145,100,per_n
S2,295,0.7830508474576271,0.7168141592920354,0.7277027806622822,100,per_n
S3,301,0.7109634551495017,0.6313559322033898,0.6120272012089426,100,per_n
S4,304,0.9506578947368421,0.9598930481283423,0.9489881531697821,100,per_n
S5,314,1.0,1.0,1.0,100,per_n
S6,312,0.9262820512820513,0.9382761455583921,0.9244178085798849,100,per_n
S7,311,0.9967845659163987,0.9957627118644068,0.9965803507614492,100,per_n
S8,312,0.9903846153846154,0.9879032258064516,0.9899197673792473,100,per_n
S9,311,0.9839228295819936,0.9789915966386555,0.9828436510475854,100,per_n
